RXCUI,Medication_Label,Estimated_Use_Category_1
791880,lansoprazole 1 MG/ML Oral Suspension,Acid Relief / Heartburn Treatment
343086,lansoprazole 15 MG,Acid Relief / Heartburn Treatment
206205,lansoprazole 15 MG Disintegrating Oral Tablet [Prevacid],Acid Relief / Heartburn Treatment
343108,lansoprazole 30 MG,Acid Relief / Heartburn Treatment
311277,lansoprazole 30 MG Delayed Release Oral Capsule,Acid Relief / Heartburn Treatment
866152,lansoprazole 30 MG Disintegrating Oral Tablet [Prevacid],Acid Relief / Heartburn Treatment
706238,lansoprazole Disintegrating Oral Tablet,Acid Relief / Heartburn Treatment
844359,lansoprazole Disintegrating Oral Tablet [Prevacid],Acid Relief / Heartburn Treatment
1162545,lansoprazole Oral Product,Acid Relief / Heartburn Treatment
1184965,Maalox Antacid Barrier Oral Product,Acid Relief / Heartburn Treatment
1296174,Mucinex Granule Product,Acid Relief / Heartburn Treatment
30421,Mylanta,Acid Relief / Heartburn Treatment
1185083,Mylanta Oral Liquid Product,Acid Relief / Heartburn Treatment
284799,Nexium,Acid Relief / Heartburn Treatment
1855316,Nexium Granule Product,Acid Relief / Heartburn Treatment
1182869,Nexium Oral Product,Acid Relief / Heartburn Treatment
1182870,Nexium Pill,Acid Relief / Heartburn Treatment
7646,Omeprazole,Acid Relief / Heartburn Treatment
617777,Omeprazole / Sodium Bicarbonate,Acid Relief / Heartburn Treatment
646343,Omeprazole / Sodium Bicarbonate Oral Capsule [Zegerid Reformulated Aug 2006],Acid Relief / Heartburn Treatment
2625143,omeprazole / sodium bicarbonate Oral Suspension,Acid Relief / Heartburn Treatment
316407,Omeprazole 10 MG,Acid Relief / Heartburn Treatment
541192,omeprazole 10 MG [Prilosec],Acid Relief / Heartburn Treatment
199119,Omeprazole 10 MG Delayed Release Oral Capsule,Acid Relief / Heartburn Treatment
316408,Omeprazole 20 MG,Acid Relief / Heartburn Treatment
616539,omeprazole 20 MG / sodium bicarbonate 1100 MG Oral Capsule,Acid Relief / Heartburn Treatment
1855342,Omeprazole 20 MG / Sodium Bicarbonate 1680 MG [Zegerid Reformulated Aug 2006],Acid Relief / Heartburn Treatment
967523,Omeprazole 20 MG [Omesec],Acid Relief / Heartburn Treatment
541245,Omeprazole 20 MG [Prilosec],Acid Relief / Heartburn Treatment
198051,omeprazole 20 MG Delayed Release Oral Capsule,Acid Relief / Heartburn Treatment
207212,Omeprazole 20 MG Delayed Release Oral Capsule [Prilosec],Acid Relief / Heartburn Treatment
402014,omeprazole 20 MG Delayed Release Oral Tablet,Acid Relief / Heartburn Treatment
608796,Omeprazole 20 MG Delayed Release Oral Tablet [Prilosec],Acid Relief / Heartburn Treatment
389172,Omeprazole 20 MG Oral Tablet,Acid Relief / Heartburn Treatment
317451,Omeprazole 40 MG,Acid Relief / Heartburn Treatment
646351,Omeprazole 40 MG / Sodium Bicarbonate 1100 MG [Zegerid Reformulated Aug 2006],Acid Relief / Heartburn Treatment
616541,omeprazole 40 MG / sodium bicarbonate 1100 MG Oral Capsule,Acid Relief / Heartburn Treatment
1855347,Omeprazole 40 MG / Sodium Bicarbonate 1680 MG [Zegerid Reformulated Aug 2006],Acid Relief / Heartburn Treatment
541248,Omeprazole 40 MG [Prilosec],Acid Relief / Heartburn Treatment
213295,Omeprazole 40 MG Delayed Release Oral Capsule [Prilosec],Acid Relief / Heartburn Treatment
389173,Omeprazole 40 MG Oral Tablet,Acid Relief / Heartburn Treatment
608795,omeprazole Delayed Release Oral Tablet [Prilosec],Acid Relief / Heartburn Treatment
236486,Omeprazole magnesium,Acid Relief / Heartburn Treatment
1161028,Omeprazole Oral Product,Acid Relief / Heartburn Treatment
393435,Omeprazole Oral Tablet,Acid Relief / Heartburn Treatment
1161029,Omeprazole Pill,Acid Relief / Heartburn Treatment
40790,pantoprazole,Acid Relief / Heartburn Treatment
336764,pantoprazole 20 MG,Acid Relief / Heartburn Treatment
314200,pantoprazole 40 MG Delayed Release Oral Tablet,Acid Relief / Heartburn Treatment
1160733,pantoprazole Injectable Product,Acid Relief / Heartburn Treatment
763305,pantoprazole Oral Granules,Acid Relief / Heartburn Treatment
763307,pantoprazole Oral Granules [Protonix],Acid Relief / Heartburn Treatment
1160735,pantoprazole Oral Product,Acid Relief / Heartburn Treatment
1160736,pantoprazole Pill,Acid Relief / Heartburn Treatment
253191,Pantoprazole sodium,Acid Relief / Heartburn Treatment
196458,Pepcid,Acid Relief / Heartburn Treatment
284831,Pepcid Complete,Acid Relief / Heartburn Treatment
1296184,Pepcid Complete Chewable Product,Acid Relief / Heartburn Treatment
1185202,Pepcid Complete Oral Product,Acid Relief / Heartburn Treatment
1185203,Pepcid Complete Pill,Acid Relief / Heartburn Treatment
1185205,Pepcid Oral Liquid Product,Acid Relief / Heartburn Treatment
1185207,Pepcid Pill,Acid Relief / Heartburn Treatment
83156,Prevacid,Acid Relief / Heartburn Treatment
1296812,Prevacid Disintegrating Oral Product,Acid Relief / Heartburn Treatment
1177101,Prevacid Oral Product,Acid Relief / Heartburn Treatment
1177102,Prevacid Pill,Acid Relief / Heartburn Treatment
203345,Prilosec,Acid Relief / Heartburn Treatment
1178238,Prilosec Oral Product,Acid Relief / Heartburn Treatment
1178239,Prilosec Pill,Acid Relief / Heartburn Treatment
261624,Protonix,Acid Relief / Heartburn Treatment
1182456,Protonix Pill,Acid Relief / Heartburn Treatment
9143,Ranitidine,Acid Relief / Heartburn Treatment
328498,Ranitidine 15 MG/ML,Acid Relief / Heartburn Treatment
1090517,Ranitidine 150 MG [Wal-Zan],Acid Relief / Heartburn Treatment
1090518,Ranitidine 150 MG Oral Tablet [Wal-Zan],Acid Relief / Heartburn Treatment
827189,Ranitidine 150 MG Oral Tablet [Zantac],Acid Relief / Heartburn Treatment
329156,Ranitidine 75 MG,Acid Relief / Heartburn Treatment
827181,Ranitidine 75 MG [Zantac],Acid Relief / Heartburn Treatment
312773,Ranitidine 75 MG Oral Tablet,Acid Relief / Heartburn Treatment
203136,Ranitidine Hydrochloride,Acid Relief / Heartburn Treatment
1164812,Ranitidine Oral Liquid Product,Acid Relief / Heartburn Treatment
373752,Ranitidine Oral Tablet,Acid Relief / Heartburn Treatment
827182,Ranitidine Oral Tablet [Zantac],Acid Relief / Heartburn Treatment
1164814,Ranitidine Pill,Acid Relief / Heartburn Treatment
152402,Tagamet,Acid Relief / Heartburn Treatment
1177839,Tagamet Pill,Acid Relief / Heartburn Treatment
220327,Titralac,Acid Relief / Heartburn Treatment
220508,Tums,Acid Relief / Heartburn Treatment
1296129,Tums Chewable Product,Acid Relief / Heartburn Treatment
1176894,Tums Oral Product,Acid Relief / Heartburn Treatment
1176895,Tums Pill,Acid Relief / Heartburn Treatment
152523,Zantac,Acid Relief / Heartburn Treatment
1187032,Zantac Oral Product,Acid Relief / Heartburn Treatment
1187033,Zantac Pill,Acid Relief / Heartburn Treatment
